_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.013514,8000330464007805,24.163391751668,0.124848985593,8000,330464,7805,PSF,0.003,P6,0.592,0.129,1,1
0.013767,8000331904000062,24.158092745694,0.125290891382,8000,331904,62,REX,0.0,R5,1.196,0.237,1,1
0.012903,8000331904000065,24.165838489765,0.125869573569,8000,331904,65,EXP,0.02,E5,1.014,0.124,1,1
0.013285,8000331904000067,24.164434934295,0.125190474035,8000,331904,67,REX,0.057,R5,1.377,0.53,1,0
0.012522,8000331904000098,24.160865676092,0.125918030806,8000,331904,98,REX,0.01,R0,0.627,0.531,1,0
0.0126,8000331904000124,24.167578028987,0.126801997307,8000,331904,124,REX,0.02,R5,0.925,0.434,1,0
0.013124,8000331904000125,24.1686123073,0.126719402767,8000,331904,125,PSF,0.0,P7,1.103,0.34,1,1
0.011671,8000331904000146,24.158322735716,0.127435844722,8000,331904,146,PSF,0.01,P5,1.984,0.51,1,1
0.013646,8000331904000168,24.17316429045,0.129818883439,8000,331904,168,PSF,1.0,P2,0.607,1.489,1,0
0.011472,8000331904000223,24.153888475545,0.130753505118,8000,331904,223,EXP,0.01,E8,0.536,0.071,1,1
0.010638,8000331904000273,24.170102608875,0.130892490129,8000,331904,273,PSF,0.002,P9,1.453,0.474,1,1
0.010709,8000331904000274,24.170785284915,0.131548099277,8000,331904,274,REX,0.018,R2,2.288,0.481,1,1
0.010106,8000331904000275,24.170358079259,0.131979246245,8000,331904,275,PSF,0.007,P5,0.327,0.5,1,0
0.008533,8000331904000277,24.157872678626,0.131164457623,8000,331904,277,REX,0.0,R6,0.943,0.074,1,1
0.007646,8000331904000286,24.166244020429,0.131666927479,8000,331904,286,EXP,0.001,E5,0.927,0.145,1,1
0.007093,8000331904000287,24.166620174909,0.132559829432,8000,331904,287,REX,0.016,R5,0.731,0.245,1,1
0.007617,8000331904000288,24.167048150469,0.132223547764,8000,331904,288,PSF,0.045,P5,0.873,0.548,1,0
0.008772,8000331904000289,24.168085318613,0.131569455374,8000,331904,289,REX,0.008,R0,0.594,0.415,1,0
6.36E-4,8000331904000293,24.163136096735,0.138352249618,8000,331904,293,COMP,0.002,C9,0.34,0.035,1,1
