_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.016408,8000348966001584,329.68094676412,2.942099136976,8000,348966,1584,EXP,0.013,E3,0.316,0.054,1,1
0.015099,8000348966001585,329.681923327907,2.943299963615,8000,348966,1585,PSF,0.998,P2,1.11,1.999,1,0
0.015882,8000348966001601,329.674638450991,2.945035555075,8000,348966,1601,PSF,0.001,P3,0.949,0.241,1,1
0.013587,8000348966001653,329.680283564006,2.945091702807,8000,348966,1653,DEV,0.005,D9,0.584,0.037,1,1
0.015123,8000348966001588,329.688986031565,2.944303525434,8000,348966,1588,EXP,0.012,E1,0.48,0.058,1,1
0.00942,8000348966001642,329.681216839134,2.949153781821,8000,348966,1642,PSF,0.998,P4,1.883,1.998,1,0
0.012326,8000348966001643,329.684226818524,2.946039229483,8000,348966,1643,DEV,0.0,D0,0.806,0.041,1,1
0.014119,8000348966001644,329.685593785049,2.94439624137,8000,348966,1644,PSF,0.002,P3,0.915,0.18,0,0
0.013144,8000348966001645,329.686036072346,2.945469049079,8000,348966,1645,REX,0.034,R3,0.428,0.082,1,1
0.008625,8000348966001646,329.680960648015,2.950040412738,8000,348966,1646,PSF,0.003,P9,0.994,0.261,0,0
0.009454,8000348966001647,329.683788690564,2.948890211101,8000,348966,1647,PSF,1.0,P2,0.367,1.081,1,0
0.014825,8000348966001656,329.690917216744,2.945589363163,8000,348966,1656,DEV,0.022,D3,0.501,0.074,1,1
0.01496,8000348966001657,329.692443097062,2.946457871157,8000,348966,1657,PSF,1.0,P4,1.511,0.89,1,0
0.01119,8000348966001709,329.687806143089,2.948073977723,8000,348966,1709,PSF,0.029,P7,0.725,0.316,1,1
0.014812,8000348966001711,329.694266168594,2.948323499596,8000,348966,1711,PSF,0.001,P9,0.961,0.246,1,1
0.013306,8000348966001712,329.692890256349,2.949062493359,8000,348966,1712,PSF,0.002,P8,1.905,0.785,1,0
0.014788,8000348966001723,329.697566213468,2.954252129964,8000,348966,1723,PSF,1.0,P4,1.533,1.278,1,0
0.015396,8000348966001724,329.698087423973,2.953869479535,8000,348966,1724,PSF,0.402,P2,1.982,2.353,1,0
